3,-24.6008,-39.9673,1.55795,64.9414,0.0272728,-0.000758028,-1.94318,0.531049,20.75,36.65,12.55
7,-5.48293,-68.4058,-0.650489,51.2696,-0.0714317,-0.00535228,4.96421,1.92869,13.752,9.15201,46.32
11,-11.7039,-44.5257,-1.6928,81.7128,-0.0603159,-0.313111,4.51085,-1.22776,15.27,12.8,35.97
19,-14.7011,-42.9775,0.587509,64.171,0.0236266,-0.256492,-1.97183,0.837708,29.806,21.664,18.674
31,-1.65489,-35.9767,0.856107,45.5452,0.369114,0,6.72784,-1.06114,35.832,9.934,32.06
5,-15.5081,-34.3069,2.00655,43.8001,-0.02128,0.073019,-0.5945,-1.11202,6.622,37.672,16.006
8,-15.363,-49.0081,-0.281257,53.2953,-0.0232726,-0.0310037,-2.20682,1.46241,17.11,25.528,15.224
10,-11.4763,-55.2565,-3.24309,20.8449,0.0237872,0.400651,0.657181,14.5163,12.142,14.166,11.912
14,-20.3492,-35.938,-0.059407,53.9318,-0.039771,0.0619471,3.83072,0.923676,11.958,35.326,17.892
15,-11.8528,-54.7799,-2.08634,43.199,0.099654,-0.00346007,-0.60865,4.3885,20.33,19.364,20.468
